// Unused singles
CS (68, 500) (144, 0) - 1 5 12 4 12 4 14 6 20 6 16 6 19 1 5 12 4 14 4 8 2 4 2 10 4 12 4 12 2 2 2 8 2 4 2 8 2 2 2 12 4 12 4 10 2 4 2 8 4 14 4 12 5 1 19 6 16 6 20 6 14 4 12 4 12 5 1 18
OSO (31, 179) (145, 0) - 1 5 12 4 10 2 4 2 6 2 4 2 10 4 10 2 4 2 6 2 6 4 17 1 5 12 4 12 5 1 18
OSO (29, 227) (146, 0) - 1 5 12 4 12 4 10 4 14 4 8 2 6 4 16 6 18 6 17 1 6 1 17 6 17 1 6 1 18
OSO (21, 161) (148, 0) - 1 5 12 4 10 2 4 2 8 4 16 6 19 1 5 14 5 1 19 6 17
OSO (21, 195) (148, 0) - 1 5 14 5 1 19 6 16 4 8 4 16 6 18 6 18 6 16 5 1 20
CS (112, 824) (150, 0) - 1 5 12 4 12 4 12 5 1 17 4 6 2 8 2 2 2 12 4 12 4 10 2 4 2 8 4 16 6 19 1 6 1 16 1 6 1 20 1 5 16 6 18 6 19 1 6 1 17 6 17 1 6 1 19 6 17 1 6 1 18 1 6 1 17 6 19 1 6 1 17 6 17 1 6 1 19 6 18 6 16 5 1 20 1 6 1 16 1 6 1 19 6 16 4 8 2 4 2 10 4 12 4 12 2 2 2 8 2 6 4 17
OSO (33, 199) (152, 0) - 1 5 12 4 14 4 8 2 6 2 6 2 6 2 6 2 6 2 8 4 14 4 10 2 4 2 6 2 8 4 16 6 19
OSO (35, 303) (152, 0) - 1 5 12 4 14 4 8 2 6 4 18 6 16 4 8 4 17 1 6 1 17 6 18 6 18 6 18 6 18 6 17 1 6 1 18
CS (84, 664) (152, 0) - 1 5 16 4 10 4 16 6 21 1 5 16 5 1 21 6 16 4 10 2 4 2 8 2 4 2 10 4 16 6 21 1 5 16 5 1 21 6 16 4 10 4 16 5 1 21 6 16 4 10 2 4 2 8 2 4 2 10 4 16 6 21 1 5 16 5 1 21 6 16 4 10 2 4 2 8 2 4 2 10 4 16 6 21
OSO (25, 225) (153, 0) - 1 5 12 4 14 4 10 4 14 4 10 4 16 6 18 6 19 1 6 1 17 6 18 6 19
CS (36, 308) (154, 0) - 1 5 12 4 14 6 18 4 6 4 18 6 14 4 12 5 1 19 6 14 4 10 4 14 5 1 20 1 5 14 4 10 4 14 6 19
CS (68, 532) (154, 0) - 1 5 16 4 8 2 6 2 8 4 16 4 10 4 16 6 21 1 5 16 5 1 21 6 16 4 10 4 16 4 8 2 6 2 8 4 16 5 1 21 6 16 4 10 2 2 2 12 4 14 4 10 4 16 4 10 4 14 4 12 2 2 2 10 4 16 6 21
CS (88, 604) (154, 0) - 1 5 14 4 12 4 10 2 2 2 12 4 10 4 16 6 18 6 19 1 5 14 5 1 19 6 18 6 16 4 10 4 12 2 2 2 10 4 12 4 14 5 1 21 6 14 4 10 4 14 4 10 2 4 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 4 2 10 4 14 4 10 4 14 6 21
OSO (27, 205) (156, 0) - 1 5 12 2 2 2 10 4 14 5 1 20 1 5 15 1 6 1 19 6 16 4 8 4 16 6 19
CS (118, 984) (156, 0) - 1 5 12 4 12 4 12 4 12 4 10 4 16 6 18 6 18 6 16 4 8 2 6 4 17 1 5 12 4 12 4 12 4 12 5 1 17 4 6 2 8 4 16 6 18 6 18 6 16 4 10 4 12 4 12 4 12 4 12 5 1 18 1 5 12 4 13 1 7 20 6 14 4 12 4 10 4 14 4 10 4 14 4 10 4 12 4 14 6 20 6 14 4 12 4 10 4 14 4 10 4 14 4 10 4 12 4 14 6 20 7 1 13 4 12 5 1 18
OSO (27, 253) (157, 0) - 1 5 16 4 8 4 17 1 6 1 17 6 20 6 16 6 20 6 16 5 1 21 7 1 15 6 21
OSO (27, 257) (157, 0) - 1 5 14 5 1 19 6 16 6 20 6 16 6 19 1 5 14 5 1 19 6 18 6 16 5 1 20
OSO (29, 251) (157, 0) - 1 5 14 4 10 4 15 1 6 1 19 6 17 1 6 1 18 1 6 1 17 6 18 6 18 6 18 6 19
OSO (33, 293) (158, 0) - 1 5 14 6 20 6 14 6 20 7 1 14 1 7 20 7 1 14 1 7 19 1 6 1 15 4 8 4 16 6 16 6 19
OSO (37, 291) (158, 0) - 1 5 14 5 1 19 6 16 6 17 1 6 1 17 6 17 1 6 1 16 1 6 1 18 1 6 1 15 4 8 4 16 6 16 5 1 20
OSO (29, 247) (159, 0) - 1 5 12 4 12 4 10 4 14 4 8 4 16 6 18 6 16 6 18 6 16 4 8 4 15 1 6 1 18
OSO (25, 155) (162, 0) - 1 5 14 4 8 2 6 2 4 2 8 2 4 2 8 4 14 4 8 2 6 4 16 6 19
OSO (25, 187) (162, 0) - 1 5 16 4 10 4 12 4 14 4 10 4 14 4 10 2 4 2 6 2 8 4 16 6 21
OSO (33, 283) (162, 0) - 1 5 14 5 1 18 1 6 1 17 6 18 6 18 6 17 1 6 1 17 6 19 1 5 14 5 1 19 6 16 5 1 20
OSO (35, 293) (162, 0) - 1 5 12 4 12 4 12 5 1 19 6 14 4 10 4 12 4 12 4 10 4 12 4 12 4 10 4 14 6 20 7 1 15 6 19
CS (84, 756) (162, 0) - 1 5 12 4 14 4 10 4 15 1 6 1 20 1 5 14 4 14 6 20 6 18 6 20 6 16 6 21 1 5 16 5 1 21 6 16 6 20 6 18 6 20 6 14 4 14 5 1 20 1 6 1 15 4 10 4 14 4 12 5 1 18 1 5 12 4 14 4 10 4 16 6 20 6 16 4 10 4 14 4 12 5 1 18
OSO (19, 157) (164, 0) - 1 5 12 2 2 2 10 4 14 6 20 6 16 4 8 4 16 6 19
OSO (29, 209) (164, 0) - 1 5 14 4 10 2 2 2 12 4 12 4 12 4 12 4 12 4 14 5 1 20 1 6 1 15 5 1 20
CS (88, 692) (164, 0) - 1 5 14 4 10 4 14 4 10 2 2 2 10 2 2 2 10 2 2 2 10 2 2 2 10 4 14 4 10 4 14 5 1 19 6 18 6 18 6 16 4 10 4 14 5 1 20 1 5 14 5 1 19 6 16 5 1 20 1 5 14 5 1 20 1 5 16 6 19 1 5 14 5 1 20 1 5 14 4 10 4 16 6 18 6 18 6 19
OSO (25, 179) (165, 0) - 1 5 12 2 2 2 10 4 15 1 6 1 19 6 17 1 6 1 18 1 6 1 17 6 19
CS (56, 412) (167, 0) - 1 5 14 5 1 19 6 16 4 8 2 4 2 8 2 6 4 16 5 1 21 6 14 4 10 4 14 4 10 2 2 2 10 4 14 4 10 4 14 6 21 1 5 16 4 6 2 8 2 4 2 8 4 16 6 19
OSO (31, 251) (169, 0) - 1 5 12 2 2 2 10 2 4 2 6 2 8 4 16 6 20 6 18 6 17 1 6 1 19 6 18 6 18 6 19
CS (138, 1088) (169, 0) - 1 5 12 4 12 4 14 4 8 2 6 2 6 2 6 2 8 4 14 4 12 4 12 5 1 17 5 1 21 6 16 5 1 21 6 14 4 12 4 12 4 12 2 2 2 10 4 14 5 1 20 1 5 16 6 20 6 16 5 1 20 1 5 14 4 10 2 2 2 12 4 12 4 12 4 14 6 21 1 5 16 6 21 1 5 17 1 5 12 4 12 4 14 4 8 2 6 2 6 2 6 2 8 4 14 4 12 4 12 5 1 17 5 1 21 6 16 5 1 21 6 14 4 12 4 12 4 14 6 21 1 5 16 6 21 1 5 17
