// 8 25
// 9 24
// 9 24.5
// 8 25.5
// The following stables colored squares:
CS (26, 220) (44, 321) - 1 5 16 4 8 4 17 1 6 1 17 4 8 4 16 5 1 21 6 14 4 12 4 14 6 21
CS (28, 192) (44, 144) - 1 5 15 1 6 1 19 7 1 13 4 10 2 2 2 10 4 13 1 7 19 1 6 1 15 5 1 20
OSO (7, 59) (45, 148) - 1 5 12 4 12 6 19
OSO (7, 61) (45, 2610) - 1 5 12 4 14 6 19
CS (24, 196) (45, 1091) - 1 6 1 17 6 18 7 1 13 4 10 4 12 4 12 4 10 4 13 1 7 18 6 17
CS (42, 324) (45, 269) - 1 5 17 1 6 1 17 4 8 4 17 1 6 1 17 4 8 4 17 1 6 1 17 5 1 21 6 17 1 6 1 17 4 8 4 17 1 6 1 17 6 21
CS (42, 392) (45, 109) - 1 5 16 6 20 6 16 5 1 21 6 15 1 7 21 1 5 16 6 20 7 1 13 4 12 4 12 4 13 1 7 20 6 16 5 1 21 7 1 15 6 21
CS (44, 324) (45, 23) - 1 5 12 2 2 2 12 5 1 20 1 5 15 1 6 1 21 7 1 15 4 10 4 14 5 1 20 1 5 14 4 10 4 15 1 7 21 1 6 1 15 5 1 20
CS (34, 288) (49, 215) - 1 5 14 6 19 1 6 1 15 4 8 4 15 1 6 1 19 6 14 5 1 19 6 16 6 17 1 6 1 17 6 16 6 19
CS (30, 252) (50, 160) - 1 5 12 4 14 6 21 1 5 14 4 12 4 12 4 14 5 1 21 6 14 4 12 5 1 17 4 8 4 17
CS (40, 392) (50, 362) - 1 5 16 5 1 21 6 16 5 1 21 6 16 6 21 1 5 16 5 1 21 6 16 6 21 1 5 16 6 21 1 5 16 5 1 21 6 16 6 21
CS (58, 440) (50, 332) - 1 5 17 1 6 1 17 4 8 4 17 1 6 1 17 4 8 4 17 1 6 1 17 4 8 4 17 1 6 1 17 5 1 21 6 17 1 6 1 17 4 8 4 17 1 6 1 17 4 8 4 17 1 6 1 17 6 21
CS (26, 208) (51, 568) - 1 5 17 1 6 1 17 4 8 4 17 1 6 1 17 5 1 21 6 17 1 6 1 17 6 21
CS (36, 312) (51, 345) - 1 5 16 4 8 4 17 1 6 1 18 1 6 1 17 4 8 4 16 5 1 21 6 16 6 21 1 5 16 5 1 21 6 16 6 21
OSO (11, 93) (52, 982) - 1 5 14 5 1 19 6 16 5 1 20
OSO (11, 101) (52, 686) - 1 7 18 6 18 6 14 4 10 4 13
CS (32, 308) (54, 54) - 1 5 16 6 20 6 16 5 1 21 6 16 6 20 7 1 13 4 12 4 12 4 12 4 13 1 7 20 6 16 6 21
CS (52, 364) (54, 3051) - 1 5 12 4 12 4 10 4 14 6 19 1 5 12 4 12 4 12 5 1 19 6 14 4 10 4 12 4 12 5 1 17 4 6 2 6 2 6 2 6 4 16 4 6 2 6 2 6 2 6 4 17
CS (30, 252) (55, 320) - 1 5 16 4 8 2 6 4 17 1 6 1 17 4 6 2 8 4 16 5 1 21 6 16 6 20 6 16 6 21
CS (36, 324) (55, 498) - 1 5 14 4 12 4 14 6 21 1 5 16 5 1 21 6 14 4 12 4 14 5 1 21 6 14 4 12 4 12 4 12 4 14 6 21
CS (40, 332) (55, 1495) - 1 6 1 17 4 8 4 16 6 20 7 1 13 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 13 1 7 20 6 16 4 8 4 17
CS (46, 364) (55, 498) - 1 6 1 17 4 6 2 8 4 16 6 20 7 1 13 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 12 4 13 1 7 20 6 16 4 8 2 6 4 17
