0: 1 5 14 6 19, zy
135: 1 5 12 4 14 5 1 20 1 6 1 15 4 10 4 14 6 21 1 5 16 6 19, zy
136: 1 5 12 4 14 6 18 6 18 6 14 4 10 4 14 6 19 1 6 1 15 6 19, zy
137: 1 5 12 4 14 6 19 1 6 1 16 1 6 1 18 1 6 1 16 1 6 1 18, zy
138: 1 5 12 4 14 6 21 1 5 16 6 20 6 15 1 7 20 6 17 1 6 1 18, zy
139: 1 5 14 4 8 2 6 2 6 4 17 1 6 1 17 6 17 1 6 1 17 6 19, zy
140: 1 5 14 4 10 2 2 2 12 4 10 4 16 6 18 6 19 1 5 14 5 1 20, zy
141: 1 5 14 4 12 4 10 2 2 2 12 4 10 2 4 2 8 4 15 1 6 1 20, zy
142: 1 5 14 4 12 4 10 2 4 2 6 2 8 4 16 6 19 1 5 14 5 1 20, zy
143: 1 5 14 4 12 4 10 4 16 6 18 4 6 2 6 2 8 4 15 1 6 1 20, zy
144: 1 5 14 4 12 4 10 4 16 6 19 1 5 14 5 1 20 1 5 15 1 7 21, zy
145: 1 5 14 4 12 4 12 2 4 2 6 2 8 4 18 6 18 4 8 2 6 4 19, zy
146: 1 5 14 4 12 4 12 4 12 2 2 2 10 4 14 4 10 4 15 1 6 1 20, zy
147: 1 5 14 4 12 4 12 4 12 4 12 4 12 4 14 6 21 1 5 15 1 7 21, zy
148: 1 5 14 6 20 6 14 5 1 19 6 14 4 10 4 14 6 20 7 1 15 6 19, zy
149: 1 5 16 4 8 4 18 6 17 1 6 1 18 1 6 1 17 6 20 6 16 6 21, zy
150: 1 5 16 6 18 4 6 2 6 2 8 4 14 4 10 4 14 4 10 4 14 6 21, zy
151: 1 5 16 6 18 4 6 2 8 4 16 6 18 4 6 2 8 4 15 1 6 1 20, zy
152: 1 5 16 6 20 6 16 6 20 6 16 4 8 2 4 2 10 4 12 4 14 6 21, zy
153: 1 6 1 15 4 8 2 6 2 4 2 8 2 6 4 16 6 20 7 1 15 6 19, zy
154: 1 6 1 15 4 10 4 12 2 2 2 8 2 6 4 16 6 20 7 1 15 6 19, zy
155: 1 6 1 17 4 6 2 8 4 16 6 20 6 15 1 7 20 6 17 1 6 1 18, zy
156: 1 5 12 2 2 2 10 4 12 4 13 1 7 20 6 15 1 7 21 1 5 16 6 19, zy
157: 1 5 12 4 12 4 10 4 15 1 6 1 20 1 5 16 6 18 6 17 1 6 1 18, zy
158: 1 5 12 4 12 4 12 4 12 4 12 5 1 17 6 20 7 1 14 1 7 20 6 17, zy
159: 1 5 12 4 12 4 13 1 7 20 6 16 6 20 7 1 13 4 12 4 12 5 1 18, zy
160: 1 5 12 4 14 4 10 4 15 1 6 1 20 1 5 16 6 19 1 6 1 17 6 19, zy
161: 1 5 12 4 14 4 10 4 15 1 6 1 20 1 5 16 6 20 6 17 1 6 1 18, zy
162: 1 5 14 4 10 4 15 1 6 1 20 1 5 16 6 18 6 19 1 5 14 5 1 20, zy
163: 1 6 1 17 6 18 7 1 13 4 10 4 12 4 12 4 10 4 13 1 7 18 6 17, zy
164: 1 6 1 17 6 20 7 1 13 4 12 4 12 4 12 4 12 4 13 1 7 20 6 17, zy
165: 1 5 12 2 2 2 10 4 12 4 12 4 12 4 10 4 16 6 18 6 17 1 6 1 18, zy
